keyword,score
evy obrasany,4.00
lkýui zýheri,4.00
vě hněpovrohy,4.00
comnorsmenního cřížo,4.00
115-130 cu,4.00
hněše povroliy,4.00
vývalkovon šroubovioí,4.00
ol razeno,4.00
ens cherekter,4.00
ct ristiky,4.00
vypélení střední-zvonivé,4.00
etarší kusy,4.00
’ re*,4.00
ksetelánkou pí,4.00
----------------- čis,4.00
vlui- ce,4.00
emězu z-v,4.00
archeologický msterifl,4.00
pehorku „í,4.00
velkýn plochým,4.00
coné av,4.00
příkope chzá-,4.00
jehož zbytky,4.00
drobnou tvrzku,4.00
takovouto situeni,4.00
farní úřad,4.00
havranově sbírce,4.00
historická geografie,4.00
hradec králové,4.00
inventární číslo,4.00
hradci králové,4.00
libri erectionum,4.00
maximální rozměry,4.00
vorniti rychtáři,4.00
sastihují j13,4.00
jz lechy,4.00
revskd vysočina/,4.00
vaijevo- dradeký,4.00
„x moltr,4.00
stt vby,4.00
plul tna,4.00
snšru j2-ev,4.00
oto má,4.00
oponome tikové,4.00
de- min,4.00
ozusuje puetou,4.00
ob- lest,4.00
no ých,4.00
mape 66/,4.00
„v kalištích*,4.00
sy wei,4.00
„ne pustinkúch,4.00
„ze humny,4.00
kon konvu1,4.00
„zn votief,4.00
„ša dolích,4.00
vo- tic,4.00
„u stám,4.00
temfho jezdní,4.00
hos hos,4.00
rne eun,4.00
patz ocinia,4.00
dosti iferencovená,4.00
rozěleny příčně,4.00
älo původn,4.00
radiální zámunenici,4.00
ub tování,4.00
strevo nní,4.00
zo- chycený,4.00
mklerově mp,4.00
uoní jamó,4.00
okolí ufat,4.00
letins =jt_xat—tvr,4.00
zybniční hospodárství,4.00
„k eyšpanim,4.00
„pod háji,4.00
ce objevuj©,4.00
dvouřadou ulicoviku,4.00
drobnou zástavbou,4.00
orientovanou jz=sv,4.00
oblasti knfrova,4.00
nebož nápis,4.00
choceňskcór muzeu,4.00
zlomek okzaje,4.00
seni vyoučeno,4.00
vícekráte objevuje,4.00
36l0zy qtooíl,4.00
anu vi1,4.00
hoenocena bonitou,4.00
zení zeč,4.00
stála tvaz,4.00
„za humy,4.00
půvoně uspoddána,4.00
české heřmanice,4.00
bobří kov,4.00
trstenické stesky,4.00
zelinkovy sbírky,4.00
> 13-5,4.00
no žuthomisl,4.00
nojsp£äo mo-,4.00
loty 1131-1240,4.00
nesi voznicemi,4.00
„allo- azua,4.00
kcdy soběalav,4.00
ganno moxxxiv,4.00
zefok- tářen,4.00
vylouče vyloučežo,4.00
fra ii,4.00
vincenoaw letopis,4.00
jindžicha zdik,4.00
prn ii,4.00
necrologiun podlažiconso,4.00
„corgius abbas,4.00
lutonisl ižalon,4.00
meltósek zytíže,4.00
nocrologiun podlažicenge,4.00
„lielen abbaa,4.00
hoře schatzbergu,4.00
abbatis luthonislensis,4.00
pžemysl otakar,4.00
litonyäli výnos,4.00
trostných poplatků,4.00
marzkcrabi moravský,4.00
joho úzoní,4.00
lidi kláštera,4.00
col tantéš,4.00
lutomislenais abbag,4.00
oda 11/1,4.00
solute fuerint,4.00
blat- nfky,4.00
coa iv/l,4.00
znaltu mcta,4.00
stříbrná lili,4.00
čorvené půd,4.00
ovien zlatý,4.00
jmáno austa,4.00
tekcováto jmóna,4.00
za- limu,4.00
ené zstu,4.00
dar* loohe,4.00
přcdhusitskó dobo,4.00
přežilo všok,4.00
iokaž pavol,4.00
jí zámok,4.00
zanén stžedoviku,4.00
domníván so,4.00
raněstžedovkýn osfdlením,4.00
viech trooh,4.00
soustrečovalo přodevšúa,4.00
litomy äl,4.00
kolonizován aš,4.00
rczlaio- vání,4.00
vladialava ii,4.00
uritých pochyností,4.00
costovní stenice,4.00
dobrá opodstatnní,4.00
celdo tvaru,4.00
nobo „kaciborg,4.00
litomyäl „kacyuberk,4.00
dnešní eosty,4.00
sánek aš,4.00
augustiniánaký kláštere,4.00
„na hridku,4.00
českýeh zenfch,4.00
mj-téš eroh,4.00
„nárožní dim,4.00
význony selhávjí,4.00
joho sbytky,4.00
těchto místeoh,4.00
*eh vma,4.00
doa „unechrot,4.00
„untere hlostergasse,4.00
„obore elostorgesse®,4.00
ktezú vede,4.00
môho iw,4.00
ivotské hore,4.00
téhož námčstí,4.00
predmstí zahradi,4.00
eue gasse,4.00
nee koupaliště,4.00
prejzeno- vaný,4.00
mejotku dr,4.00
doklea „pták,4.00
„lápové liati*,4.00
trstenické stezky,4.00
44slitonyäl nsta,4.00
„čezá horu,4.00
„u kabátu,4.00
poule yředněatí,4.00
4- bánka,4.00
jv zámku,4.00
utekou třobovou,4.00
předmctí „zdhrn,4.00
litomyäli vbec,4.00
jehoš základy,4.00
zzní autori,4.00
eichertová 1977a,4.00
zámeakých sklepích,4.00
podeprené još-,4.00
poku pokuosvätlit,4.00
aalýoh vozokanoch,4.00
nit nit5,4.00
paeče- tí,4.00
českonorevská vyoočině,4.00
hmuji výsledky,4.00
tri možnosti,4.00
koutel vmikl,4.00
klášterem premonetrátů,4.00
itě sporná,4.00
docti sporadické,4.00
teo- reticky,4.00
oväce mošná,4.00
ovalia väak,4.00
