file,page_num,Clear,Trash,Noisy,Empty,Non-text
CTX199904249,188,0,37,8,0,2
CTX199904249,189,0,9,3,0,6
CTX199904249,190,0,40,9,0,3
CTX199904249,191,0,11,1,0,6
CTX199904249,192,0,41,8,0,4
CTX199904249,193,0,10,2,0,6
CTX199904249,194,0,41,4,0,2
CTX199904249,195,0,9,3,0,5
CTX199904249,196,0,37,6,0,2
CTX199904249,197,0,11,0,0,8
CTX199904249,198,0,41,6,0,3
CTX199904249,199,0,9,3,0,6
CTX199904249,200,0,37,4,0,2
CTX199904249,201,0,11,1,0,5
CTX199904249,202,0,42,4,0,14
CTX199904249,203,0,36,6,0,5
CTX199904249,204,0,36,6,0,3
CTX199904249,205,0,9,1,0,4
CTX199904249,206,0,42,8,0,5
CTX199904249,207,0,11,1,0,5
CTX199904249,208,0,21,5,0,3
CTX199904249,209,0,39,3,0,2
CTX199904249,210,0,46,6,0,4
CTX199904249,211,0,11,1,0,6
CTX199904249,212,0,6,2,0,7
CTX199904249,213,0,37,6,0,3
CTX199904249,214,0,11,1,0,4
CTX199904249,215,0,34,6,0,2
CTX199904249,216,0,10,2,0,4
CTX199904249,217,0,37,6,0,2
CTX199904249,218,0,11,1,0,7
CTX199904249,219,0,40,4,0,2
CTX199904249,220,0,11,1,0,6
CTX199904249,221,0,41,3,0,2
CTX199904249,222,1,10,1,0,6
CTX199904249,223,0,37,6,0,4
CTX199904249,224,0,11,1,0,5
CTX199904249,225,0,5,3,0,7
CTX199904249,226,0,7,2,0,6
CTX199904249,227,0,7,1,0,6
CTX199904249,228,0,0,0,0,1
CTX199904249,229,0,5,3,0,4
CTX199904249,230,0,0,0,0,1
CTX199904249,231,0,0,0,0,1
CTX199904249,232,0,0,0,0,1
CTX199904249,233,0,35,7,0,5
CTX199904249,234,0,12,1,0,5
CTX199904249,235,1,37,6,0,2
CTX199904249,236,0,6,2,0,6
CTX199904249,237,0,40,9,0,5
CTX199904249,238,0,34,8,0,4
CTX199904249,239,0,11,1,0,5
CTX199904249,240,0,43,9,0,5
CTX199904249,241,0,11,1,0,5
CTX199904249,242,0,40,10,0,5
CTX199904249,243,0,12,6,0,3
CTX199904249,244,0,39,4,0,2
CTX199904249,245,0,24,5,0,3
CTX199904249,246,0,11,1,0,5
CTX199904249,247,0,38,5,0,3
CTX199904249,248,0,39,3,0,2
CTX199904249,249,0,39,3,0,2
CTX199904249,250,0,40,3,0,2
CTX199904249,251,0,41,3,0,2
CTX199904249,252,0,39,3,0,2
CTX199904249,253,0,39,3,0,2
CTX199904249,254,0,39,3,0,2
CTX199904249,255,0,9,1,0,5
CTX199904249,256,0,35,7,0,2
CTX199904249,257,0,39,5,0,2
CTX199904249,258,0,36,6,0,4
CTX199904249,259,0,37,6,0,2
CTX199904249,260,0,10,2,0,6
CTX199904249,261,0,9,1,0,10
CTX199904249,262,0,42,8,0,6
CTX199904249,263,0,11,1,0,5
CTX199904249,264,0,41,7,0,4
CTX199904249,265,0,11,1,0,6
CTX199904249,266,0,39,8,0,4
CTX199904249,267,0,41,8,0,5
CTX199904249,268,0,10,1,0,6
CTX199904249,269,0,37,6,0,2
CTX199904249,270,0,11,1,0,4
CTX199904249,271,0,41,9,0,6
CTX199904249,272,0,10,1,0,7
CTX199904249,273,0,48,9,0,3
CTX199904249,274,0,11,1,0,5
CTX199904249,275,0,42,8,0,5
CTX199904249,276,0,11,1,0,6
CTX199904249,277,0,6,2,0,6
CTX199904249,278,0,38,6,0,4
CTX199904249,279,0,10,1,0,6
CTX199904249,280,0,36,9,0,5
CTX199904249,281,0,11,1,0,6
CTX199904249,282,0,5,3,0,6
CTX199904249,283,0,8,2,0,6
CTX199904249,284,0,6,2,0,4
CTX199904249,285,0,8,2,0,5
CTX199904249,286,0,7,1,0,5
CTX199904249,287,0,37,5,0,2
CTX199904249,288,0,39,14,0,3
CTX199904249,289,0,9,2,0,6
CTX199904249,290,0,37,8,0,19
CTX199904249,291,0,6,2,0,6
CTX199904249,292,0,43,7,0,4
CTX199904249,293,0,10,1,0,6
CTX199904249,294,0,35,4,0,2
CTX199904249,295,0,11,1,0,6
CTX199904249,296,0,39,3,0,2
CTX199904249,297,0,37,7,0,3
CTX199904249,298,0,42,11,0,3
CTX199904249,299,0,10,1,0,6
CTX199904249,300,0,38,10,0,4
CTX199904249,301,0,42,6,0,3
CTX199904249,302,0,33,7,0,3
CTX199904249,303,0,11,1,0,6
CTX199904249,304,0,40,10,0,5
CTX199904249,305,0,11,1,0,7
CTX199904249,306,0,12,6,0,3
CTX199904249,307,0,11,1,0,7
CTX199904249,308,0,37,4,0,2
CTX199904249,309,0,43,9,0,3
CTX199904249,310,0,12,2,0,13
CTX199904249,311,0,40,10,0,5
CTX199904249,312,0,44,9,0,5
